Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,390470936.0,84274754.0,5332281936.0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,323703884.0,116347040.0,208339025.0
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,601309283.0,122599116.0,3369120610.0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,2031280633.0,1096100899.0,14603725994.0
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,670665438.0,131148091.0,2938686633.0
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,900158751.0,308723145.0,534915313.0
Gata Only,Gata Only,FloyyMenor,2/2/2024,675079153.0,228382568.0,3804584163.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,90676573.0,32735244.0,974656200.0
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,250080413.0,32229063.0,2100000.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,221636195.0,40022524.0,360017000.0
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,297185.0,6736502312.0,22234.0
LALA,LALA - Single,Myke Towers,3/22/2023,925655569.0,934302031.0,7499234052.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,395433400.0,104673836.0,207317000.0
greedy,greedy,Tate McRae,9/14/2023,1258569694.0,141646818.0,5456156211.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,91272461.0,16038053.0,1225345800.0
As It Was,As It Was,Harry Styles,3/31/2022,3301814535.0,800899315.0,15405881843.0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,1065399331.0,240970670.0,7095564106.0
Espresso,Espresso,Sabrina Carpenter,4/12/2024,547882871.0,107550212.0,1379499000.0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,426700979.0,35724356.0,6518604175.0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,7382759.0,4233958.0,22918660728.0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,3107100349.0,1256973582.0,23712377029.0
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,720822868.0,16322756555.0,6577639193.0
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,124893397.0,359896095.0,390081328.0
Water,Water,Tyla,7/28/2023,670376179.0,265180930.0,3932956380.0
Strangers,Strangers,Kenya Grace,9/1/2023,750154960.0,118208096.0,2231749390.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,311928522.0,62694868.0,378313942.0
Lose Control,Lose Control,Teddy Swims,6/23/2023,775135157.0,139180960.0,597513595.0
fukumean,fukumean,Gunna,6/15/2023,759998727.0,94699547.0,3281790327.0
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,3071214106.0,3366447481.0,5861939942.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,214237645.0,11033725.0,443104700.0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,170970614.0,22280037.0,12196985599.0
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,1658229422.0,466080689.0,1051836430.0
Daylight,Daylight,David Kushner,4/14/2023,1126820069.0,274070101.0,2578518632.0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,997702304.0,48093111.0,5469808282.0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,59314441.0,22374807.0,1200000.0
Houdini,Houdini - Single,Dua Lipa,11/9/2023,493627071.0,150571504.0,386610043.0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,304929492.0,61986821.0,5684815935.0
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,1747093405.0,9537135721.0,1143297071.0
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,104271.0,2457026781.0,393580.0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,1391688322.0,902742581.0,2857920.0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,3909458734.0,8013997219.0,2320856331.0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,4281468720.0,833807130.0,3501177394.0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,1337619917.0,193982443.0,1268862678.0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,1556275789.0,254051906.0,7945975878.0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,1384.0,222076.0,8811416708.0
Supernova,Supernova,aespa,5/13/2024,69729033.0,111310770.0,393973528.0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,1811990630.0,1516863120.0,6470937272.0
Calm Down,Calm Down,Rema,2/10/2022,584427088.0,1141904909.0,18216656774.0
Kill Bill,SOS,SZA,12/8/2022,1873746537.0,220538045.0,1284413960.0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,891720245.0,144741616.0,3998086216.0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,2996181078.0,1272898075.0,5518429969.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,946941510.0,776436101.0,11936401096.0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,1010494713.0,3203314695.0,1981431049.0
un x100to,un x100to,Grupo Frontera,4/17/2023,1008495696.0,878892413.0,1669065906.0
Sprinter,Sprinter - Single,Dave,6/1/2023,692512930.0,219666692.0,1254944697.0
TQG,TQG,KAROL G,2/23/2023,1024381758.0,1102289596.0,248168852.0
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,2969999682.0,6473698897.0,7647479866.0
Pepas,Pepas,Farruko,6/24/2021,1500499584.0,1431591689.0,4067248819.0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,1215336974.0,701880622.0,15373104.0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,860026452.0,173044031.0,1227837850.0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,1032225805.0,920878032.0,2416141351.0
redrum,american dream,21 Savage,1/12/2024,428233003.0,105148629.0,43993800.0
Easy On Me,Easy On Me,Adele,10/14/2021,1720918065.0,1194846205.0,7860224413.0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,1514239759.0,1366181141.0,5249863696.0
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,333202114.0,203487345.0,748253884.0
Anti-Hero,Midnights,Taylor Swift,10/21/2022,1563224246.0,203259285.0,3864505972.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,1692951462.0,1132539234.0,2054826154.0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,255076355.0,202206901.0,506476590.0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,275349653.0,347506860.0,4767676439.0
La Diabla,La Diabla - Single,Xavi,12/2/2023,649404552.0,433839212.0,10603563.0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,851085705.0,211810152.0,8781020473.0
Snooze,SOS,SZA,12/9/2022,1013350808.0,390677417.0,887803828.0
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,359803580.0,369321334.0,874056250.0
Agora Hills,Scarlet,Doja Cat,9/22/2023,509653100.0,48045203.0,544437406.0
Prada,Prada,cassï¿,8/11/2023,609699748.0,47611547.0,1090501901.0
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,5157486.0,1278618.0,3900000.0
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,242070373.0,22907992.0,3832221658.0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,478150858.0,113379734.0,2111289492.0
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,61382407.0,9977490.0,147837262.0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,460156070.0,8183226.0,1032799567.0
Training Season,Training Season,Dua Lipa,2/15/2024,251153869.0,66691067.0,431390500.0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,1911559785.0,441257231.0,4574447121.0
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,2014959725.0,1003346208.0,9558947943.0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,518988585.0,107703759.0,924204888.0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,247399972.0,389540239.0,296522040.0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,5712985.0,3120073.0,33870791454.0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,3358704125.0,2763188773.0,1597453878.0
Hands,Hands,Dianï¿½,8/1/2022,126914.0,2435813922.0,6415.0
Believer,Believer,Imagine Dragons,1/31/2017,3006226762.0,4495059988.0,5876458723.0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,787155930.0,357772653.0,836550889.0
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,532605345.0,97958347.0,947194801.0
ANDO,ANDO,Jere Klein,9/27/2023,292789738.0,406307035.0,872862858.0
First Class,First Class,Jack Harlow,4/8/2022,818858244.0,231229581.0,6890780336.0
FE!N,UTOPIA,Travis Scott,7/28/2023,659010786.0,125203447.0,107398826.0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,1607421145.0,409785349.0,1825552705.0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,438796949.0,509727241.0,782582119.0
Drained of Color,Drained of Color,Exhumed,8/30/2022,158627.0,2156140830.0,4484.0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,1867736006.0,747126783.0,1768836179.0
Dynamite,Dynamite,BTS,8/21/2020,1872577908.0,2638957320.0,5063720138.0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,3427498835.0,2153701892.0,2161032034.0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,230849195.0,363082908.0,1551501289.0
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,720720922.0,221078988.0,15247253457.0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,1378494.0,1022331.0,1272592848.0
vampire,vampire,Olivia Rodrigo,6/30/2023,998964097.0,113450524.0,1448207880.0
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,37157630.0,63418833.0,8850449.0
Back,Back,LOLA,8/3/2022,48428.0,2123978358.0,735317.0
People,People - Single,Libianca,12/5/2022,631955547.0,305998382.0,3233505931.0
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,94635338.0,944314.0,1542242100.0
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,114574238.0,9134225.0,79796400.0
La Bachata,La Bachata,Manuel Turizo,5/26/2022,1721045197.0,798827877.0,2596777974.0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,8028757.0,48533758.0,3985974550.0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,1612286123.0,1019256266.0,4702037810.0
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,2607121959.0,1201600884.0,3535661993.0
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,2548389305.0,987143411.0,338071383.0
PROVENZA,PROVENZA,KAROL G,4/22/2022,1185929926.0,1229843060.0,2829294043.0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,1325725696.0,1329826741.0,9539547626.0
SPOT!,SPOT!,ZICO,4/26/2024,77757035.0,100148771.0,366905484.0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,1673557134.0,397523735.0,761760624.0
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,922010059.0,141852059.0,811685466.0
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,1754311538.0,958790883.0,2658904267.0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,850810162.0,258553384.0,717259721.0
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,1312168384.0,993324548.0,3350704343.0
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,548408.0,1356336.0,7041708832.0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,2167768056.0,773591065.0,8186754429.0
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,2516804300.0,1779243626.0,1409756969.0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,2738293818.0,2372399124.0,1859977153.0
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,1003487432.0,621874255.0,6208638113.0
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,1638836101.0,1170441361.0,3869815694.0
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,372423476.0,131308671.0,830123390.0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,630373315.0,50938569.0,586454750.0
Circles,Circles,Post Malone,8/30/2019,2481391466.0,1116323669.0,273522601.0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,474590289.0,577930708.0,509287649.0
About Damn Time,About Damn Time,Lizzo,4/14/2022,847025688.0,106024874.0,15665483220.0
Closer,Closer,The Chainsmokers,7/29/2016,2880536961.0,4086121880.0,514053404.0
FLOWER,ME,JISOO,3/31/2023,440364356.0,525156884.0,6724997940.0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,689181455.0,183381482.0,487440417.0
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,372248119.0,86580734.0,128182068.0
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,2072182782.0,3952909529.0,546650805.0
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,606124553.0,166363445.0,29601244.0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,827950825.0,299001099.0,1359837461.0
Bones,Bones,Imagine Dragons,3/11/2022,1227475431.0,584854654.0,2255843288.0
golden hour,golden hour,JVKE,7/15/2022,1126986320.0,293553015.0,2305840359.0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,2074721986.0,1665434424.0,2649555956.0
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,89362910.0,37676729.0,476545000.0
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,26674909.0,7863539.0,709276580.0
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,406875019.0,39850191.0,22689637.0
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,1421763497.0,945857087.0,225142753.0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,1237874594.0,2430804498.0,964755757.0
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,804925777.0,175393116.0,3209982240.0
Stargazing,Stargazing,Myles Smith,5/10/2024,106599323.0,10331471.0,4700000.0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,971473231.0,198796965.0,926300276.0
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,1125681368.0,306628096.0,2775640343.0
Memories,Memories,Maroon 5,9/20/2019,2011072164.0,1290292327.0,1458416059.0
Classy 101,Classy 101,Feid,3/31/2023,872148396.0,477047694.0,1113541743.0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,207093873.0,19787472.0,298300000.0
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,361517395.0,37192341.0,35999853.0
"yes, and?","yes, and?",Ariana Grande,1/12/2024,416813996.0,115105080.0,10072539.0
Without Me,Without Me,Halsey,10/4/2018,2042792456.0,2018089906.0,2216715741.0
meet the grahams,meet the grahams,Kendrick Lamar,5/3/2024,65520394.0,36834647.0,7700000.0
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/2023,328526298.0,61769035.0,2571188.0
Shallow,Shallow,Lady Gaga,9/27/2018,2447973078.0,2732311956.0,168789459.0
Thunder,Thunder,Imagine Dragons,4/27/2017,2384768901.0,2707166590.0,906537912.0
Rush,Rush,Ayra Starr,9/16/2022,371886608.0,361174452.0,1454848289.0
abcdefu,abcdefu,GAYLE,8/13/2021,1128273165.0,499895662.0,12414681151.0
Buga,Buga,Kizz Daniel,5/3/2022,86516910.0,266679537.0,1872751535.0
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,1087938471.0,147472695.0,2783442788.0
MONEY,LALISA,LISA,9/10/2021,1189335848.0,1323718887.0,12516703531.0
Columbia,Columbia,Quevedo,7/7/2023,721002940.0,266411536.0,752868970.0
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,684204777.0,362779953.0,1207597707.0
Woman,Planet Her,Doja Cat,6/25/2021,1606950381.0,641326002.0,5944657895.0
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,795960535.0,176996169.0,11215597325.0
How You Like That,How You Like That,BLACKPINK,6/25/2020,1033109188.0,1584676582.0,7988463856.0
Milf Song,Milf Song,The Puddleducks,8/19/2022,1165982.0,1704936540.0,7758599.0
Nasty,Nasty,Tinashe,4/12/2024,31612906.0,6277949.0,1051026401.0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,706356280.0,172653099.0,108461504.0
Panda,Panda,Desiigner,2/26/2016,1181348550.0,2277330940.0,283835852.0
Tattoo,Tattoo,Loreen,2/25/2023,518846340.0,348331280.0,718955243.0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,1823871908.0,307855103.0,8035914098.0
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,102772879.0,65934972.0,847338969.0
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,4674619.0,108313521.0,391444977.0
Illusion,Illusion,Dua Lipa,4/11/2024,108501771.0,3947610.0,38200.0
drivers license,drivers license,Olivia Rodrigo,1/8/2021,2184754018.0,984811734.0,3781894216.0
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,205468104.0,61624959.0,503074793.0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,861388470.0,15219067.0,4388576830.0
Players,Players,Coi Leray,11/30/2022,465588517.0,109781672.0,4784803362.0
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,2960046642.0,2391850868.0,456931528.0
Con Calma,Con Calma,Daddy Yankee,1/24/2019,1353028938.0,3207187334.0,319615777.0
Here With Me,Here With Me,d4vd,7/20/2022,1042311849.0,256736243.0,3656967030.0
Favorite Song,Favorite Song,Toosii,2/17/2023,186579651.0,231699320.0,117325107.0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,158131138.0,135893150.0,147200.0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,1902241314.0,274582854.0,7655286423.0
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,406821432.0,23505530.0,113073762.0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,665716137.0,358206246.0,2653383273.0
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,1262308912.0,66246839.0,8988453878.0
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,2708151499.0,872052223.0,2738127473.0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,298853393.0,112961806.0,928812348.0
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,717849037.0,217687654.0,808518802.0
Yandel 150,Yandel 150,Yandel,12/20/2022,837576264.0,472335529.0,631781362.0
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,1062095453.0,194928107.0,3501946982.0
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,1339352060.0,873449363.0,4445597088.0
Chemical,Chemical,Post Malone,4/14/2023,503574147.0,90349145.0,134469226.0
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,1891920348.0,6335989683.0,3455170110.0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,1486929795.0,637733433.0,523849646.0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,1993030264.0,5644117304.0,1268235679.0
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,853451422.0,1132006963.0,23933379729.0
Mi Gente,Mi Gente,J Balvin,6/30/2017,1478442472.0,3859031931.0,1018060369.0
Late Night Talking,Harry's House,Harry Styles,5/20/2022,959639297.0,151113156.0,580526441.0
Miss You,Miss You,Oliver Tree,8/5/2022,631378937.0,32628348.0,5776425361.0
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,69931412.0,63786141.0,6778569349.0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,2300838.0,3060919074.0,4527607.0
Dakiti,Dakiti,Bad Bunny,1/1/2020,1977947460.0,1861597184.0,21573356.0
Starboy,Starboy,The Weeknd,9/22/2016,3291262413.0,2829990867.0,375498232.0
Sorry,Sorry,Justin Bieber,10/23/2015,2089476497.0,4467507940.0,376376728.0
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,777064903.0,482028631.0,1411545704.0
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,736469450.0,868589823.0,5828265172.0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,250430303.0,16747466.0,411722900.0
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,1656385770.0,1135382823.0,5007036875.0
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,682837690.0,191823612.0,185584934.0
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,347647880.0,30685665.0,53065653.0
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,1108031580.0,765780154.0,940630746.0
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,2596644721.0,2822804239.0,631258708.0
7 rings,7 rings,Ariana Grande,1/18/2019,2262490403.0,1903198886.0,2620954252.0
Moonlight,Moonlight,Kali Uchis,2/24/2023,701558859.0,209195939.0,1114531877.0
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,1118038333.0,481447573.0,4530095073.0
God's Plan,Diplomatic Immunity,Drake,1/20/2018,2529948475.0,2040639375.0,634177218.0
Sunroof,Sunroof,Nicky Youre,11/26/2021,879708559.0,74610328.0,22086963233.0
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,8/19/2023,521116293.0,427625497.0,107781205.0
MY EYES,UTOPIA,Travis Scott,7/28/2023,403132906.0,42319491.0,139973656.0
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,1713294983.0,2920155266.0,607999568.0
Ghost,Justice,Justin Bieber,3/19/2021,1586830204.0,476319277.0,1180485094.0
Dior,Meet The Woo,Pop Smoke,7/26/2019,1070422470.0,909072115.0,1077344517.0
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/2022,839405565.0,662287768.0,4817726878.0
SAD!,SAD!,XXXTENTACION,3/2/2018,2218531106.0,1800863873.0,435340082.0
Primera Cita,La Primera Cita - Single,Carin Leon,4/20/2023,598006591.0,415255950.0,1108602382.0
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,1293773697.0,501908214.0,6046489956.0
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,11/9/2023,95536146.0,143810663.0,711024077.0
Slow It Down,Slow It Down,Benson Boone,3/22/2024,202667139.0,25188125.0,3500000.0
Yonaguni,Yonaguni,Bad Bunny,6/4/2021,1398634184.0,1084871745.0,2877719483.0
Heathens,Heathens,Twenty One Pilots,6/16/2016,1777196966.0,2624180055.0,1024805500.0
Whoopty,Whoopty,CJ,8/20/2020,775664145.0,810607861.0,4864435271.0
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,547471596.0,202977396.0,1998080214.0
Happier,Happier - Single,Marshmello,8/16/2018,2143821605.0,1512765689.0,809336882.0
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,462284590.0,110545167.0,1947539058.0
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,509231024.0,40223001.0,312.0
Butter,Butter,BTS,5/21/2021,1257974135.0,1175755478.0,8120632702.0
Calma - Remix,Calma (Remix),Pedro Capï¿,10/5/2018,1153753974.0,2890512374.0,124640416.0
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")","CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,5/6/2016,1733302434.0,2322229374.0,153590873.0
Say So,Hot Pink,Doja Cat,11/7/2019,1199270601.0,879051516.0,5494376938.0
Ransom,Ransom,Lil Tecca,5/22/2019,1355971796.0,749040183.0,532109309.0
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,1136504636.0,154143867.0,1306972284.0
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,60240739.0,3322959.0,843600.0
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/2016,1528107667.0,3187869227.0,595697842.0
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,8/11/2023,214598468.0,145094088.0,35469076.0
BESO,RR,ROSALï¿½,3/24/2023,647201484.0,186060248.0,1792090770.0
